"New York City Neighborhood Information provided by the Furman Center, retrieved from http://www.furmancenter.org/data/search on 11/8/2016. Terms can be found at http://www.furmancenter.org/data/disclaimer/.",Indicator,Description,SubBorough,1990,2000,2005,2006,2007,2008,2009,2010
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",New York City,1.589193239,27.7184948,21.0292759,21.32782797,21.0622278,21.73570402,20.79910401,20.39642589
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Brooklyn,1.546957742,31.1878007,22.3752514,22.64443031,22.77543683,23.50012361,22.08027624,21.59044542
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Bay Ridge,0.476705015,22.0292379,17.6546798,17.61129478,18.23442703,19.51603666,17.34023799,22.99278168
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Bedford Stuyvesant,1.577372858,39.1004318,33.4342654,29.37272199,28.41172145,,27.17252746,23.64268203
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Bensonhurst,1.336546889,32.4932693,24.8298243,28.27726147,27.0287732,34.47279693,28.88336189,30.10642686
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Borough Park,1.501122335,31.6815351,25.321103,24.08743249,25.65432409,21.81202261,24.33077875,27.27115679
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Brooklyn Heights/Fort Greene,1.280548291,20.9044791,15.1184661,13.36232507,11.64376876,14.33044491,12.1986073,12.72671143
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Brownsville/Ocean Hill,3.424657534,40.6959814,29.5488745,33.01546549,31.23906034,30.47901932,24.16223105,27.68524096
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Bushwick,2.296187066,53.9626015,44.3858896,44.56918558,42.73597447,41.2576988,46.3655486,39.41604985
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Coney Island,1.970954357,28.6911878,20.0197831,17.12164,18.09946954,24.33915521,23.65255966,17.65760664
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",East Flatbush,2.928870293,29.7717167,14.2469327,17.8611488,17.55733006,17.07190141,14.52487779,15.09172611
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",East New York/Starrett City,3.471757089,40.8801652,30.1052385,20.97613573,24.55699438,26.87697434,28.33780913,25.18866931
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Flatbush,1.455525607,26.8464775,18.360649,17.65072745,16.42743549,21.03981325,16.92618532,17.29245475
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Flatlands/Canarsie,0.796019901,21.7585538,13.1079037,13.16715814,14.00134063,15.40283117,11.40538974,12.61965661
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",North Crown Heights/Prospect Heights,1.234567901,31.8792969,21.1779759,20.01144079,21.68875786,19.13986537,17.83015197,16.11739114
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Park Slope/Carroll Gardens,0.965824666,17.4538336,10.2991138,11.98708967,16.23034074,11.66443813,11.62021836,9.482858399
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Sheepshead Bay/Gravesend,1.198526326,21.5047336,12.6894393,15.0716155,13.15968551,18.72821708,14.73639479,13.18170677
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",South Crown Heights,2.087832973,30.7809353,16.7950647,21.5254089,18.83544988,20.28740724,16.9259407,18.26351996
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Sunset Park,2.063535162,44.3680276,36.7602814,36.65310647,39.53498141,38.54432822,41.50267014,40.74826513
,No High School Diploma (percent),"The percentage of the population aged 25 and older with less than a high school diploma or GED. <i>Source: United States Census (2000), American Community Survey</i>",Williamsburg/Greenpoint,2.048159424,40.7987461,29.4009642,32.74039529,30.19523184,27.19203782,23.95805179,21.0708064
